 # Date: Fri May  8 10:11:08 2026
 # Fr =                  Infinity
 # tau =   1.0000000000000000      , uO =   0.0000000000000000     
 # Iteration No.:           61
 # Lx =***    Ly =   5
 #      Results of the computations
 # x   y     h(i,j)      u(i,j)      v(i,j)
 #------------------------------------------
   1   1    0.000000    Infinity         NaN
   1   2    0.000000    Infinity         NaN
   1   3    0.000000    Infinity         NaN
   1   4    0.000000    Infinity         NaN
   1   5    0.000000    Infinity         NaN
   2   1************ 2100.070653    0.000000
   2   2************ 2100.070653    0.000000
   2   3************ 2100.070653    0.000000
   2   4************ 2100.070653    0.000000
   2   5************ 2100.070653    0.000000
   3   1************ 2100.000001    0.000000
   3   2************ 2100.000001    0.000000
   3   3************ 2100.000001    0.000000
   3   4************ 2100.000001    0.000000
   3   5************ 2100.000001    0.000000
   4   1************ 2100.000012    0.000000
   4   2************ 2100.000012    0.000000
   4   3************ 2100.000012    0.000000
   4   4************ 2100.000012    0.000000
   4   5************ 2100.000012    0.000000
   5   125986.943881 2121.560307    0.000000
  44   4   56.160751 1703.654804    0.000000
  44   5   56.160751 1703.654804    0.000000
  45   1   56.423930 1645.859540    0.000000
  45   2   56.423930 1645.859540    0.000000
  45   3   56.423930 1645.859540    0.000000
  45   4   56.423930 1645.859540    0.000000
  45   5   56.423930 1645.859540    0.000000
  46   1   56.528308 1558.769043    0.000000
  46   2   56.528308 1558.769043    0.000000
  46   3   56.528308 1558.769043    0.000000
  46   4   56.528308 1558.769043    0.000000
  46   5   56.528308 1558.769043    0.000000
  47   1   53.110200 1517.217337    0.000000
  47   2   53.110200 1517.217337    0.000000
  47   3   53.110200 1517.217337    0.000000
  47   4   53.110200 1517.217337    0.000000
  47   5   53.110200 1517.217337    0.000000
  48   1   47.308973 1522.792611    0.000000
  48   2   47.308973 1522.792611    0.000000
  48   3   47.308973 1522.792611    0.000000
  48   4   47.308973 1522.792611    0.000000
  48   5   47.308973 1522.792611    0.000000
  49   1   41.327666 1542.787524    0.000000
  49   2   41.327666 1542.787524    0.000000
  49   3   41.327666 1542.787524    0.000000
  49   4   41.327666 1542.787524    0.000000
  49   5   41.327666 1542.787524    0.000000
  50   1   35.949981 1550.518216    0.000000
  50   2   35.949981 1550.518216    0.000000
  50   3   35.949981 1550.518216    0.000000
  50   4   35.949981 1550.518216    0.000000
  50   5   35.949981 1550.518216    0.000000
  51   1   30.812317 1541.117475    0.000000
  51   2   30.812317 1541.117475    0.000000
  51   3   30.812317 1541.117475    0.000000
  51   4   30.812317 1541.117475    0.000000
  51   5   30.812317 1541.117475    0.000000
  52   1   25.433915 1518.721635    0.000000
  52   2   25.433915 1518.721635    0.000000
  52   3   25.433915 1518.721635    0.000000
  52   4   25.433915 1518.721635    0.000000
  52   5   25.433915 1518.721635    0.000000
  53   1   19.809903 1490.906216    0.000000
  53   2   19.809903 1490.906216    0.000000
  53   3   19.809903 1490.906216    0.000000
  53   4   19.809903 1490.906216    0.000000
  53   5   19.809903 1490.906216    0.000000
  54   1   13.121958 1373.848069    0.000000
  54   2   13.121958 1373.848069    0.000000
  54   3   13.121958 1373.848069    0.000000
  54   4   13.121958 1373.848069    0.000000
  54   5   13.121958 1373.848069    0.000000
  55   1   11.117080 1592.116542   -0.000000
  55   2   11.117080 1592.116542   -0.000000
  55   3   11.117080 1592.116542   -0.000000
  55   4   11.117080 1592.116542   -0.000000
  55   5   11.117080 1592.116542   -0.000000
  56   1    4.180325  237.200316   -0.000000
  56   2    4.180325  237.200316   -0.000000
  56   3    4.180325  237.200316   -0.000000
  56   4    4.180325  237.200316   -0.000000
  56   5    4.180325  237.200316   -0.000000
  57   1   11.355230 1722.152781    0.000000
  57   2   11.355230 1722.152781    0.000000
  57   3   11.355230 1722.152781    0.000000
  57   4   11.355230 1722.152781    0.000000
  57   5   11.355230 1722.152781    0.000000
  58   1    3.780540    0.301070    0.000000
  58   2    3.780540    0.301070    0.000000
  58   3    3.780540    0.301070    0.000000
  58   4    3.780540    0.301070    0.000000
  58   5    3.780540    0.301070    0.000000
  59   1   12.847335 1763.037769    0.000000
  59   2   12.847335 1763.037769    0.000000
  59   3   12.847335 1763.037769    0.000000
  59   4   12.847335 1763.037769    0.000000
  59   5   12.847335 1763.037769    0.000000
  60   1    3.385432    0.005761    0.000000
  60   2    3.385432    0.005761    0.000000
  60   3    3.385432    0.005761    0.000000
  60   4    3.385432    0.005761    0.000000
  60   5    3.385432    0.005761    0.000000
  61   1    5.816279 1377.888848    0.000000
  61   2    5.816279 1377.888848    0.000000
  61   3    5.816279 1377.888848    0.000000
  61   4    5.816279 1377.888848    0.000000
  61   5    5.816279 1377.888848    0.000000
  62   1    2.000000    0.000000    0.000000
  62   2    2.000000    0.000000    0.000000
  62   3    2.000000    0.000000    0.000000
  62   4    2.000000    0.000000    0.000000
  62   5    2.000000    0.000000    0.000000
  63   1    2.000000    0.000000    0.000000
  63   2    2.000000    0.000000    0.000000
  63   3    2.000000    0.000000    0.000000
  63   4    2.000000    0.000000    0.000000
  63   5    2.000000    0.000000    0.000000
  64   1    2.000000    0.000000    0.000000
  64   2    2.000000    0.000000    0.000000
  64   3    2.000000    0.000000    0.000000
  64   4    2.000000    0.000000    0.000000
  64   5    2.000000    0.000000    0.000000
  65   1    2.000000    0.000000    0.000000
  65   2    2.000000    0.000000    0.000000
  65   3    2.000000    0.000000    0.000000
  65   4    2.000000    0.000000    0.000000
  65   5    2.000000    0.000000    0.000000
  66   1    2.000000    0.000000    0.000000
  66   2    2.000000    0.000000    0.000000
  66   3    2.000000    0.000000    0.000000
  66   4    2.000000    0.000000    0.000000
  66   5    2.000000    0.000000    0.000000
  67   1    2.000000    0.000000    0.000000
  67   2    2.000000    0.000000    0.000000
  67   3    2.000000    0.000000    0.000000
  67   4    2.000000    0.000000    0.000000
  67   5    2.000000    0.000000    0.000000
  68   1    2.000000    0.000000    0.000000
  68   2    2.000000    0.000000    0.000000
  68   3    2.000000    0.000000    0.000000
  68   4    2.000000    0.000000    0.000000
  68   5    2.000000    0.000000    0.000000
  69   1    2.000000    0.000000    0.000000
  69   2    2.000000    0.000000    0.000000
  69   3    2.000000    0.000000    0.000000
  69   4    2.000000    0.000000    0.000000
  69   5    2.000000    0.000000    0.000000
  70   1    2.000000    0.000000    0.000000
  70   2    2.000000    0.000000    0.000000
  70   3    2.000000    0.000000    0.000000
  70   4    2.000000    0.000000    0.000000
  70   5    2.000000    0.000000    0.000000
  71   1    2.000000    0.000000    0.000000
  71   2    2.000000    0.000000    0.000000
  71   3    2.000000    0.000000    0.000000
  71   4    2.000000    0.000000    0.000000
  71   5    2.000000    0.000000    0.000000
  72   1    2.000000    0.000000    0.000000
  72   2    2.000000    0.000000    0.000000
  72   3    2.000000    0.000000    0.000000
  72   4    2.000000    0.000000    0.000000
  72   5    2.000000    0.000000    0.000000
  73   1    2.000000    0.000000    0.000000
  73   2    2.000000    0.000000    0.000000
  73   3    2.000000    0.000000    0.000000
  73   4    2.000000    0.000000    0.000000
  73   5    2.000000    0.000000    0.000000
  74   1    2.000000    0.000000    0.000000
  74   2    2.000000    0.000000    0.000000
  74   3    2.000000    0.000000    0.000000
  74   4    2.000000    0.000000    0.000000
  74   5    2.000000    0.000000    0.000000
  75   1    2.000000    0.000000    0.000000
  75   2    2.000000    0.000000    0.000000
  75   3    2.000000    0.000000    0.000000
  75   4    2.000000    0.000000    0.000000
  75   5    2.000000    0.000000    0.000000
  76   1    2.000000    0.000000    0.000000
  76   2    2.000000    0.000000    0.000000
  76   3    2.000000    0.000000    0.000000
  76   4    2.000000    0.000000    0.000000
  76   5    2.000000    0.000000    0.000000
  77   1    2.000000    0.000000    0.000000
  77   2    2.000000    0.000000    0.000000
  77   3    2.000000    0.000000    0.000000
  77   4    2.000000    0.000000    0.000000
  77   5    2.000000    0.000000    0.000000
  78   1    2.000000    0.000000    0.000000
  78   2    2.000000    0.000000    0.000000
  78   3    2.000000    0.000000    0.000000
  78   4    2.000000    0.000000    0.000000
  78   5    2.000000    0.000000    0.000000
  79   1    2.000000    0.000000    0.000000
  79   2    2.000000    0.000000    0.000000
  79   3    2.000000    0.000000    0.000000
  79   4    2.000000    0.000000    0.000000
  79   5    2.000000    0.000000    0.000000
  80   1    2.000000    0.000000    0.000000
  80   2    2.000000    0.000000    0.000000
  80   3    2.000000    0.000000    0.000000
  80   4    2.000000    0.000000    0.000000
  80   5    2.000000    0.000000    0.000000
  81   1    2.000000    0.000000    0.000000
  81   2    2.000000    0.000000    0.000000
  81   3    2.000000    0.000000    0.000000
  81   4    2.000000    0.000000    0.000000
  81   5    2.000000    0.000000    0.000000
  82   1    2.000000    0.000000    0.000000
  82   2    2.000000    0.000000    0.000000
  82   3    2.000000    0.000000    0.000000
  82   4    2.000000    0.000000    0.000000
  82   5    2.000000    0.000000    0.000000
  83   1    2.000000    0.000000    0.000000
  83   2    2.000000    0.000000    0.000000
  83   3    2.000000    0.000000    0.000000
  83   4    2.000000    0.000000    0.000000
  83   5    2.000000    0.000000    0.000000
  84   1    2.000000    0.000000    0.000000
  84   2    2.000000    0.000000    0.000000
  84   3    2.000000    0.000000    0.000000
  84   4    2.000000    0.000000    0.000000
  84   5    2.000000    0.000000    0.000000
  85   1    2.000000    0.000000    0.000000
  85   2    2.000000    0.000000    0.000000
  85   3    2.000000    0.000000    0.000000
  85   4    2.000000    0.000000    0.000000
  85   5    2.000000    0.000000    0.000000
  86   1    2.000000    0.000000    0.000000
  86   2    2.000000    0.000000    0.000000
  86   3    2.000000    0.000000    0.000000
  86   4    2.000000    0.000000    0.000000
  86   5    2.000000    0.000000    0.000000
  87   1    2.000000    0.000000    0.000000
  87   2    2.000000    0.000000    0.000000
  87   3    2.000000    0.000000    0.000000
  87   4    2.000000    0.000000    0.000000
  87   5    2.000000    0.000000    0.000000
  88   1    2.000000    0.000000    0.000000
  88   2    2.000000    0.000000    0.000000
  88   3    2.000000    0.000000    0.000000
  88   4    2.000000    0.000000    0.000000
  88   5    2.000000    0.000000    0.000000
  89   1    2.000000    0.000000    0.000000
  89   2    2.000000    0.000000    0.000000
  89   3    2.000000    0.000000    0.000000
  89   4    2.000000    0.000000    0.000000
  89   5    2.000000    0.000000    0.000000
  90   1    2.000000    0.000000    0.000000
  90   2    2.000000    0.000000    0.000000
  90   3    2.000000    0.000000    0.000000
  90   4    2.000000    0.000000    0.000000
  90   5    2.000000    0.000000    0.000000
  91   1    2.000000    0.000000    0.000000
  91   2    2.000000    0.000000    0.000000
  91   3    2.000000    0.000000    0.000000
  91   4    2.000000    0.000000    0.000000
  91   5    2.000000    0.000000    0.000000
  92   1    2.000000    0.000000    0.000000
  92   2    2.000000    0.000000    0.000000
  92   3    2.000000    0.000000    0.000000
  92   4    2.000000    0.000000    0.000000
  92   5    2.000000    0.000000    0.000000
  93   1    2.000000    0.000000    0.000000
  93   2    2.000000    0.000000    0.000000
  93   3    2.000000    0.000000    0.000000
  93   4    2.000000    0.000000    0.000000
  93   5    2.000000    0.000000    0.000000
  94   1    2.000000    0.000000    0.000000
  94   2    2.000000    0.000000    0.000000
  94   3    2.000000    0.000000    0.000000
  94   4    2.000000    0.000000    0.000000
  94   5    2.000000    0.000000    0.000000
  95   1    2.000000    0.000000    0.000000
  95   2    2.000000    0.000000    0.000000
  95   3    2.000000    0.000000    0.000000
  95   4    2.000000    0.000000    0.000000
  95   5    2.000000    0.000000    0.000000
  96   1    2.000000    0.000000    0.000000
  96   2    2.000000    0.000000    0.000000
  96   3    2.000000    0.000000    0.000000
  96   4    2.000000    0.000000    0.000000
  96   5    2.000000    0.000000    0.000000
  97   1    2.000000    0.000000    0.000000
  97   2    2.000000    0.000000    0.000000
  97   3    2.000000    0.000000    0.000000
  97   4    2.000000    0.000000    0.000000
  97   5    2.000000    0.000000    0.000000
  98   1    2.000000    0.000000    0.000000
  98   2    2.000000    0.000000    0.000000
  98   3    2.000000    0.000000    0.000000
  98   4    2.000000    0.000000    0.000000
  98   5    2.000000    0.000000    0.000000
  99   1    2.000000    0.000000    0.000000
  99   2    2.000000    0.000000    0.000000
