x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m) , Fx MMS, Fy MMS
   13,    2, 0.03906250000000, 0.00468750000000, 2.07555502924402, 0.00007520465401, 2.07547982459001, 0.00366484942619, 0.00000000000000, 0.00760632104421, 2.08160711679948, 0.00000000000000, 2.08168232145349,42.52562431701242,    0.00000000000000,
   13,    3, 0.03906250000000, 0.00781250000000, 2.07555502924402, 0.00007520465401, 2.07547982459001, 0.00366484942619, 0.00000000000000, 0.00760632104421, 2.08160711679948, 0.00000000000000, 2.08168232145349,42.52562431701242,    0.00000000000000,
   13,    4, 0.03906250000000, 0.01093750000000, 2.07555502924402, 0.00007520465401, 2.07547982459001, 0.00366484942619, 0.00000000000000, 0.00760632104421, 2.08160711679948, 0.00000000000000, 2.08168232145349,42.52562431701242,    0.00000000000000,
   13,    5, 0.03906250000000, 0.01406250000000, 2.07555502924402, 0.00007520465401, 2.07547982459001, 0.00366484942619, 0.00000000000000, 0.00760632104421, 2.08160711679948, 0.00000000000000, 2.08168232145349,42.52562431701242,    0.00000000000000,
   14,    1, 0.04218750000000, 0.00156250000000, 2.08207871020848, 0.00008770038712, 2.08199100982136, 0.00365311651020,-0.00000000000000, 0.00760575573208, 2.08809884308542, 0.00000000000000, 2.08818654347254,42.61090237792747,    0.00000000000000,
   14,    2, 0.04218750000000, 0.00468750000000, 2.08207871020848, 0.00008770038712, 2.08199100982136, 0.00365311651020,-0.00000000000000, 0.00760575573208, 2.08809884308542, 0.00000000000000, 2.08818654347254,42.61090237792747,    0.00000000000000,
   14,    3, 0.04218750000000, 0.00781250000000, 2.08207871020848, 0.00008770038712, 2.08199100982136, 0.00365311651020,-0.00000000000000, 0.00760575573208, 2.08809884308542, 0.00000000000000, 2.08818654347254,42.61090237792747,    0.00000000000000,
   14,    4, 0.04218750000000, 0.01093750000000, 2.08207871020848, 0.00008770038712, 2.08199100982136, 0.00365311651020,-0.00000000000000, 0.00760575573208, 2.08809884308542, 0.00000000000000, 2.08818654347254,42.61090237792747,    0.00000000000000,
   14,    5, 0.04218750000000, 0.01406250000000, 2.08207871020848, 0.00008770038712, 2.08199100982136, 0.00365311651020,-0.00000000000000, 0.00760575573208, 2.08809884308542, 0.00000000000000, 2.08818654347254,42.61090237792747,    0.00000000000000,
   15,    1, 0.04531250000000, 0.00156250000000, 2.08859471585270, 0.00010115148829, 2.08849356436441, 0.00364146759146, 0.00000000000000, 0.00760518162961, 2.09458207822150, 0.00000000000000, 2.09468322970979,42.69159330715548,    0.00000000000000,
   15,    2, 0.04531250000000, 0.00468750000000, 2.08859471585270, 0.00010115148829, 2.08849356436441, 0.00364146759146, 0.00000000000000, 0.00760518162961, 2.09458207822150, 0.00000000000000, 2.09468322970979,42.69159330715548,    0.00000000000000,
   15,    3, 0.04531250000000, 0.00781250000000, 2.08859471585270, 0.00010115148829, 2.08849356436441, 0.00364146759146, 0.00000000000000, 0.00760518162961, 2.09458207822150, 0.00000000000000, 2.09468322970979,42.69159330715548,    0.00000000000000,
   15,    4, 0.04531250000000, 0.01093750000000, 2.08859471585270, 0.00010115148829, 2.08849356436441, 0.00364146759146, 0.00000000000000, 0.00760518162961, 2.09458207822150, 0.00000000000000, 2.09468322970979,42.69159330715548,    0.00000000000000,
   15,    5, 0.04531250000000, 0.01406250000000, 2.08859471585270, 0.00010115148829, 2.08849356436441, 0.00364146759146, 0.00000000000000, 0.00760518162961, 2.09458207822150, 0.00000000000000, 2.09468322970979,42.69159330715548,    0.00000000000000,
   16,    1, 0.04843750000000, 0.00156250000000, 2.09510241965252, 0.00011555666108, 2.09498686299143, 0.00362990291577,-0.00000000000000, 0.00760459892247, 2.10105619734003, 0.00000000000000, 2.10117175400111,42.76765174839816,    0.00000000000000,
   16,    2, 0.04843750000000, 0.00468750000000, 2.09510241965252, 0.00011555666108, 2.09498686299143, 0.00362990291577,-0.00000000000000, 0.00760459892247, 2.10105619734003, 0.00000000000000, 2.10117175400111,42.76765174839816,    0.00000000000000,
   16,    3, 0.04843750000000, 0.00781250000000, 2.09510241965252, 0.00011555666108, 2.09498686299143, 0.00362990291577,-0.00000000000000, 0.00760459892247, 2.10105619734003, 0.00000000000000, 2.10117175400111,42.76765174839816,    0.00000000000000,
   16,    4, 0.04843750000000, 0.01093750000000, 2.09510241965252, 0.00011555666108, 2.09498686299143, 0.00362990291577,-0.00000000000000, 0.00760459892247, 2.10105619734003, 0.00000000000000, 2.10117175400111,42.76765174839816,    0.00000000000000,
   16,    5, 0.04843750000000, 0.01406250000000, 2.09510241965252, 0.00011555666108, 2.09498686299143, 0.00362990291577,-0.00000000000000, 0.00760459892247, 2.10105619734003, 0.00000000000000, 2.10117175400111,42.76765174839816,    0.00000000000000,
   17,    1, 0.05156250000000, 0.00156250000000, 2.10160119589503, 0.00013091451710, 2.10147028137793, 0.00361842271239,-0.00000000000000, 0.00760400779555, 2.10752057645192, 0.00000000000000, 2.10765149096902,42.83903299527853,    0.00000000000000,
   17,    2, 0.05156250000000, 0.00468750000000, 2.10160119589503, 0.00013091451710, 2.10147028137793, 0.00361842271239,-0.00000000000000, 0.00760400779555, 2.10752057645192, 0.00000000000000, 2.10765149096902,42.83903299527853,    0.00000000000000,
   17,    3, 0.05156250000000, 0.00781250000000, 2.10160119589503, 0.00013091451710, 2.10147028137793, 0.00361842271239,-0.00000000000000, 0.00760400779555, 2.10752057645192, 0.00000000000000, 2.10765149096902,42.83903299527853,    0.00000000000000,
   17,    4, 0.05156250000000, 0.01093750000000, 2.10160119589503, 0.00013091451710, 2.10147028137793, 0.00361842271239,-0.00000000000000, 0.00760400779555, 2.10752057645192, 0.00000000000000, 2.10765149096902,42.83903299527853,    0.00000000000000,
   17,    5, 0.05156250000000, 0.01406250000000, 2.10160119589503, 0.00013091451710, 2.10147028137793, 0.00361842271239,-0.00000000000000, 0.00760400779555, 2.10752057645192, 0.00000000000000, 2.10765149096902,42.83903299527853,    0.00000000000000,
   18,    1, 0.05468750000000, 0.00156250000000, 2.10809041973823, 0.00014722357611, 2.10794319616212, 0.00360702719446,-0.00000000000000, 0.00760340843293, 2.11397459250687, 0.00000000000000, 2.11412181608298,42.90569301005887,    0.00000000000000,
   18,    2, 0.05468750000000, 0.00468750000000, 2.10809041973823, 0.00014722357611, 2.10794319616212, 0.00360702719446,-0.00000000000000, 0.00760340843293, 2.11397459250687, 0.00000000000000, 2.11412181608298,42.90569301005887,    0.00000000000000,
   18,    3, 0.05468750000000, 0.00781250000000, 2.10809041973823, 0.00014722357611, 2.10794319616212, 0.00360702719446,-0.00000000000000, 0.00760340843293, 2.11397459250687, 0.00000000000000, 2.11412181608298,42.90569301005887,    0.00000000000000,
   18,    4, 0.05468750000000, 0.01093750000000, 2.10809041973823, 0.00014722357611, 2.10794319616212, 0.00360702719446,-0.00000000000000, 0.00760340843293, 2.11397459250687, 0.00000000000000, 2.11412181608298,42.90569301005887,    0.00000000000000,
   18,    5, 0.05468750000000, 0.01406250000000, 2.10809041973823, 0.00014722357611, 2.10794319616212, 0.00360702719446,-0.00000000000000, 0.00760340843293, 2.11397459250687, 0.00000000000000, 2.11412181608298,42.90569301005887,    0.00000000000000,
   19,    1, 0.05781250000000, 0.00156250000000, 2.11456946727059, 0.00016448226622, 2.11440498500437, 0.00359571655938, 0.00000000000000, 0.00760280101782, 2.12041762345337, 0.00000000000000, 2.12058210571959,42.96758844221029,    0.00000000000000,
   19,    2, 0.05781250000000, 0.00468750000000, 2.11456946727059, 0.00016448226622, 2.11440498500437, 0.00359571655938, 0.00000000000000, 0.00760280101782, 2.12041762345337, 0.00000000000000, 2.12058210571959,42.96758844221029,    0.00000000000000,
   19,    3, 0.05781250000000, 0.00781250000000, 2.11456946727059, 0.00016448226622, 2.11440498500437, 0.00359571655938, 0.00000000000000, 0.00760280101782, 2.12041762345337, 0.00000000000000, 2.12058210571959,42.96758844221029,    0.00000000000000,
   19,    4, 0.05781250000000, 0.01093750000000, 2.11456946727059, 0.00016448226622, 2.11440498500437, 0.00359571655938, 0.00000000000000, 0.00760280101782, 2.12041762345337, 0.00000000000000, 2.12058210571959,42.96758844221029,    0.00000000000000,
